date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions
1965-01-31,8.777,,,,
1965-02-28,9.059,,,,
1965-03-31,8.745,,,,
1965-04-30,8.893,,,,
1965-05-31,8.387,,,,
1965-06-30,8.598,,,,
1965-07-31,8.206,,,,
1965-08-31,7.873,,,,
1965-09-30,7.686,,,,
1965-10-31,7.654,,,,
1965-11-30,7.619,,,,
1965-12-31,7.386,,,,
1966-01-31,7.731,,,,
1966-02-28,8.11,,,,
1966-03-31,8.17,,,,
1966-04-30,8.026,,,,
1966-05-31,8.23,,,,
1966-06-30,8.507,,,,
1966-07-31,8.346,,,,
1966-08-31,8.507,,,,
1966-09-30,8.495,,,,
1966-10-31,9.112,,,,
1966-11-30,8.627,,,,
1966-12-31,8.484,,,,
1967-01-31,8.419,,,,
1967-02-28,9.336,,,,
1967-03-31,7.946,,,,
1967-04-30,8.915,,,,
1967-05-31,9.173,,,,
1967-06-30,8.954,,,,
1967-07-31,9.216,,,,
1967-08-31,9.413,,,,
1967-09-30,9.404,,,,
1967-10-31,9.808,,,,
1967-11-30,9.91,,,,
1967-12-31,9.519,,,,
1968-01-31,10.951,,,,
1968-02-29,9.573,,,,
1968-03-31,10.16,,,,
1968-04-30,10.029,,,,
1968-05-31,10.672,,,,
1968-06-30,10.529,,,,
1968-07-31,10.889,,,,
1968-08-31,10.854,,,,
1968-09-30,11.284,,,,
1968-10-31,10.478,,,,
1968-11-30,10.765,,,,
1968-12-31,10.984,,,,
1969-01-31,10.995,,,,
1969-02-28,10.861,,,,
1969-03-31,10.737,,,,
1969-04-30,11.289,,,,
1969-05-31,11.617,,,,
1969-06-30,11.283,,,,
1969-07-31,11.835,,,,
1969-08-31,11.905,,,,
1969-09-30,11.329,,,,
1969-10-31,11.734,,,,
1969-11-30,11.831,,,,
1969-12-31,13.063,,,,
1970-01-31,11.904,,,,
1970-02-28,12.177,,,,
1970-03-31,11.375,,,,
1970-04-30,12.013,,,,
1970-05-31,9.645,,,,
1970-06-30,9.426,,,,
1970-07-31,9.044,,,,
1970-08-31,9.713,,,,
1970-09-30,10.383,,,,
1970-10-31,10.483,,,,
1970-11-30,10.246,,,,
1970-12-31,10.853,,,,
1971-01-31,10.767,,,,
1971-02-28,10.421,,,,
1971-03-31,10.018,,,,
1971-04-30,10.804,,,,
1971-05-31,10.08,,,,
1971-06-30,10.591,,,,
1971-07-31,10.975,,,,
1971-08-31,11.432,,,,
1971-09-30,10.407,,,,
1971-10-31,11.205,,,,
1971-11-30,10.894,,,,
1971-12-31,11.367,,,,
1972-01-31,11.564,,,,
1972-02-29,11.588,,,,
1972-03-31,12.14,,,,
1972-04-30,10.772,,,,
1972-05-31,12.194,,,,
1972-06-30,12.39,,,,
1972-07-31,12.346,,,,
1972-08-31,12.71,,,,
1972-09-30,13.731,,,,
1972-10-31,13.399,,,,
1972-11-30,13.97,,,,
1972-12-31,13.875,,,,
1973-01-31,15.759,,,,
1973-02-28,14.464,,,,
1973-03-31,15.719,,,,
1973-04-30,14.441,,,,
1973-05-31,15.565,,,,
1973-06-30,16.186,,,,
1973-07-31,15.925,,,,
1973-08-31,16.0,,,,
1973-09-30,15.786,,,,
1973-10-31,15.422,,,,
1973-11-30,14.558,,,,
1973-12-31,13.626,,,,
1974-01-31,13.069,,,,
1974-02-28,12.651,,,,
1974-03-31,11.952,,,,
1974-04-30,11.727,,,,
1974-05-31,12.584,,,,
1974-06-30,11.32,,,,
1974-07-31,10.594,,,,
1974-08-31,8.158,,,,
1974-09-30,7.296,,,,
1974-10-31,7.352,,,,
1974-11-30,7.508,,,,
1974-12-31,7.617,,,,
1975-01-31,7.709,,,,
1975-02-28,7.856,,,,
1975-03-31,9.276,,,,
1975-04-30,8.757,,,,
1975-05-31,9.525,,,,
1975-06-30,9.669,,,,
1975-07-31,9.648,,,,
1975-08-31,9.977,,,,
1975-09-30,10.577,,,,
1975-10-31,10.674,,,,
1975-11-30,12.016,,,,
1975-12-31,11.386,,,,
1976-01-31,11.231,,,,
1976-02-29,12.07,,,,
1976-03-31,11.472,,,,
1976-04-30,12.181,,,,
1976-05-31,11.385,,,,
1976-06-30,11.116,,,,
1976-07-31,11.39,,,,
1976-08-31,10.877,,,,
1976-09-30,11.514,,,,
1976-10-31,11.449,,,,
1976-11-30,11.336,,,,
1976-12-31,11.243,,,,
1977-01-31,11.602,,,,
1977-02-28,10.27,,,,
1977-03-31,8.542,,,,
1977-04-30,10.023,,,,
1977-05-31,9.613,,,,
1977-06-30,9.454,,,,
1977-07-31,9.9,,,,
1977-08-31,9.873,,,,
1977-09-30,9.309,,,,
1977-10-31,9.59,,,,
1977-11-30,9.06,,,,
1977-12-31,9.333,,,,
1978-01-31,9.289,,,,
1978-02-28,9.015,,,,
1978-03-31,9.052,,,,
1978-04-30,8.837,,,,
1978-05-31,8.819,,,,
1978-06-30,8.901,,,,
1978-07-31,8.846,,,,
1978-08-31,8.842,,,,
1978-09-30,9.477,,,,
1978-10-31,9.69,,,,
1978-11-30,9.744,,,,
1978-12-31,10.297,,,,
1979-01-31,9.328,,,,
1979-02-28,10.315,,,,
1979-03-31,10.059,,,,
1979-04-30,10.026,,,,
1979-05-31,10.731,,,,
1979-06-30,10.672,,,,
1979-07-31,10.711,,,,
1979-08-31,10.553,,,,
1979-09-30,10.93,,,,
1979-10-31,11.031,,,,
1979-11-30,11.171,,,,
1979-12-31,10.21,,,,
1980-01-31,10.953,,,,
1980-02-29,11.584,,,,
1980-03-31,11.931,,,,
1980-04-30,12.107,,,,
1980-05-31,11.671,,,,
1980-06-30,11.893,,,,
1980-07-31,11.526,,,,
1980-08-31,12.305,,,,
1980-09-30,11.804,,,,
1980-10-31,12.205,,,,
1980-11-30,12.355,,,,
1980-12-31,12.341,,,,
1981-01-31,12.639,,,,
1981-02-28,12.317,,,,
1981-03-31,12.521,,,,
1981-04-30,12.753,,,,
1981-05-31,12.031,,,,
1981-06-30,12.488,,,,
1981-07-31,12.02,,,,
1981-08-31,12.439,,,,
1981-09-30,11.981,,,,
1981-10-31,11.816,,,,
1981-11-30,11.596,,,,
1981-12-31,10.914,,,,
1982-01-31,11.108,,,,
1982-02-28,10.551,,,,
1982-03-31,10.335,,,,
1982-04-30,10.04,,,,
1982-05-31,9.384,,,,
1982-06-30,8.771,,,,
1982-07-31,9.252,,,,
1982-08-31,8.191,,,,
1982-09-30,7.995,,,,
1982-10-31,7.954,,,,
1982-11-30,8.085,,,,
1982-12-31,8.048,,,,
1983-01-31,8.039,,,,
1983-02-28,8.525,,,,
1983-03-31,8.598,,,,
1983-04-30,8.717,,,,
1983-05-31,9.451,,,,
1983-06-30,9.466,,,,
1983-07-31,9.204,9.957,,,
1983-08-31,10.312,10.197,,,
1983-09-30,10.734,10.476,,,
1983-10-31,10.919,10.735,,,
1983-11-30,10.785,10.961,,,
1983-12-31,11.847,11.183,,,
1984-01-31,10.099,11.444,,,
1984-02-29,11.906,11.745,,,
1984-03-31,12.814,12.089,,,
1984-04-30,12.038,12.393,,,
1984-05-31,12.926,12.579,,,
1984-06-30,12.37,12.622,,,
1984-07-31,12.534,12.555,,,
1984-08-31,12.877,12.41,,,
1984-09-30,11.752,12.264,,,
1984-10-31,12.1,12.115,,,
1984-11-30,12.285,12.002,,,
1984-12-31,11.97,11.956,,,
1985-01-31,11.453,11.969,,,
1985-02-28,12.261,12.046,,,
1985-03-31,12.225,12.148,,,
1985-04-30,12.397,12.224,,,
1985-05-31,11.955,12.297,,,
1985-06-30,12.614,12.349,,,
1985-07-31,12.239,12.336,,,
1985-08-31,12.019,12.217,,,
1985-09-30,12.0,11.968,,,
1985-10-31,12.443,11.59,,,
1985-11-30,10.902,11.127,,,
1985-12-31,10.047,10.623,,,
1986-01-31,10.105,10.149,,,
1986-02-28,9.97,9.766,,,
1986-03-31,9.801,9.514,,,
1986-04-30,9.017,9.387,,,
1986-05-31,8.994,9.322,,,
1986-06-30,9.636,9.273,,,
1986-07-31,9.455,9.261,,,
1986-08-31,9.097,9.256,,,
1986-09-30,9.246,9.208,,,
1986-10-31,8.963,9.128,,,
1986-11-30,9.336,9.032,,,
1986-12-31,9.051,8.967,,,
1987-01-31,8.443,8.941,,,
